STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT
1,7.2,7.3,6.3,7.3,7.0,7.9,7.3,5.5,8.4,8.9,5.8,9.0,6.6,8.7,7.2,5.8,7.4,7.4,5.2,6.6,6.9,8.9,8.1,5.8,7.2,7.1,5.9,7.2,6.6,5.8,8.1,5.9,7.4,5.6,6.1,5.7,7.9,5.0,7.4,5.0,6.9,5.7,6.5,7.2,8.4,6.6,7.6,5.9,F,,2NT,3.25,3.25,4.5,A1,6.975,7.550000000000001,7.0375,K,K,K,2.79,3.0200000000000005,2.815,1
2,5.4,3.9,3.9,4.0,5.4,5.4,5.3,2.8,6.3,5.4,3.2,7.2,5.4,6.1,4.7,4.7,4.3,3.8,3.7,3.7,5.2,6.6,5.8,4.4,4.9,2.8,5.1,4.5,5.6,7.0,7.6,4.7,3.0,4.6,4.4,4.9,4.3,6.3,6.7,4.4,4.0,5.4,4.0,5.2,5.5,6.6,6.1,4.4,M,,1,6.0,4.0,3.5,C,4.512499999999999,5.375000000000001,4.687499999999999,Y,TB,Y,1.805,2.1500000000000004,1.875,0
3,5.6,6.8,7.2,7.5,4.3,7.4,5.8,3.2,5.0,4.9,6.2,6.1,5.3,7.1,4.0,4.9,2.8,6.3,6.2,5.6,2.5,5.8,5.1,3.7,6.1,6.1,5.8,6.8,4.0,6.4,5.3,4.1,4.8,5.1,6.4,5.1,4.0,6.9,3.9,3.2,5.7,6.6,6.8,6.8,4.1,7.9,8.1,4.6,M,,1,5.0,6.75,4.0,C,5.975,5.4375,4.75,TB,TB,Y,2.39,2.175,1.9,1
4,6.6,6.4,5.3,6.9,5.4,7.3,6.4,5.8,5.1,6.2,5.5,5.5,4.4,6.5,4.9,4.4,5.9,7.3,5.9,4.9,5.7,6.8,6.8,5.4,4.1,4.4,4.1,7.3,5.3,7.1,7.3,5.6,6.1,4.9,5.3,4.0,6.2,5.5,5.9,6.5,7.4,5.6,6.6,6.8,6.6,7.1,7.3,7.4,M,,1,4.25,4.25,5.25,D1,6.262499999999999,5.3125,6.0875,TB,TB,TB,2.505,2.125,2.435,1
5,6.0,5.0,6.0,7.3,6.5,7.7,7.9,6.1,5.4,5.5,5.9,7.5,6.5,6.9,7.6,6.4,7.6,7.6,6.7,6.6,5.7,7.9,7.4,7.3,4.4,6.5,5.6,8.3,6.2,4.9,8.6,7.7,6.8,5.4,4.7,5.0,5.1,7.0,7.0,6.3,8.0,6.2,6.8,6.9,6.6,6.1,7.5,7.2,M,,2NT,4.25,4.5,5.0,A,6.5625,6.4625,7.1,K,TB,K,2.625,2.585,2.84,1
6,9.3,7.6,7.9,8.6,7.0,7.3,7.7,7.9,9.6,7.8,8.0,8.7,7.7,8.0,9.2,9.1,7.1,8.5,8.1,8.7,7.2,8.4,7.7,8.2,8.5,8.5,7.7,9.2,8.0,6.6,7.3,8.8,8.5,7.6,8.1,9.0,8.4,6.6,6.6,8.2,7.8,6.4,7.2,7.7,7.7,5.7,8.0,7.8,M,,1,1.5,4.0,6.0,D1,7.9125,8.5125,7.987500000000001,K,G,K,3.165,3.405,3.1950000000000003,1
7,2.8,3.9,5.5,6.9,5.0,7.3,4.6,5.2,4.4,6.7,5.5,7.7,5.0,6.6,6.1,4.6,4.6,4.8,4.4,8.1,5.6,6.0,4.8,3.9,4.7,6.3,4.8,7.1,6.8,7.7,6.6,5.6,5.4,4.5,5.0,5.0,5.9,6.1,6.1,4.8,5.3,7.0,6.0,5.7,6.1,6.6,6.0,6.0,F,,2,6.5,6.75,5.25,C,5.15,5.825,5.275,TB,TB,TB,2.06,2.33,2.11,0
8,8.3,6.0,7.6,5.1,7.5,4.7,5.8,7.2,6.7,6.3,6.4,7.1,7.3,6.9,6.1,7.9,8.6,5.7,6.9,6.6,7.4,6.0,5.8,6.5,8.3,5.3,6.2,6.4,7.6,5.4,6.7,6.3,8.5,7.0,6.1,6.4,6.6,4.8,7.4,6.9,8.3,6.7,5.6,5.9,7.3,7.1,6.8,7.0,F,,2,3.75,4.5,4.25,D1,6.525,6.8375,6.6875,K,K,K,2.6100000000000003,2.735,2.675,1
9,6.5,6.3,7.6,6.0,5.5,7.1,6.3,5.0,7.3,6.8,7.3,6.5,6.4,7.9,7.6,3.7,6.4,6.7,6.7,7.3,6.2,6.1,8.2,5.7,8.1,6.0,6.3,7.8,7.2,7.6,8.5,5.7,7.7,7.5,8.8,6.5,5.6,5.6,7.1,6.7,7.7,8.7,8.9,7.5,6.0,9.1,7.9,6.1,F,,1,3.5,3.5,6.75,D1,6.2875,6.6875,6.662500000000001,TB,K,K,2.515,2.675,2.6650000000000005,1
10,7.3,5.9,4.7,7.1,6.7,7.9,6.7,7.7,8.0,6.8,7.6,6.9,6.8,7.8,6.4,7.4,6.5,7.3,6.0,7.8,7.2,7.9,7.1,7.7,5.5,7.0,6.0,6.7,8.0,7.2,6.3,7.2,7.5,7.0,8.0,5.9,7.1,6.3,5.1,7.1,6.9,7.0,6.7,7.1,7.7,6.4,6.1,7.8,F,,1,4.0,4.75,5.5,D1,6.750000000000001,7.212499999999999,7.187500000000001,K,K,K,2.7,2.885,2.8750000000000004,1
11,5.2,6.4,7.4,7.0,7.1,8.1,7.6,6.8,6.3,6.5,8.4,7.5,6.3,9.1,8.6,7.5,7.8,7.9,7.4,8.4,5.7,9.6,8.4,7.8,7.6,5.7,6.4,8.2,6.7,7.3,8.3,7.5,6.2,6.1,5.9,7.2,6.7,7.1,7.4,6.6,7.3,7.2,7.2,8.8,7.6,6.0,7.2,7.2,F,,2,3.0,4.0,5.5,D1,6.95,7.525,7.875,K,K,K,2.78,3.01,3.15,1
12,7.9,7.0,9.1,8.6,6.1,7.0,5.6,9.0,8.2,7.1,8.8,7.6,6.9,7.3,7.2,9.0,8.1,8.4,8.5,7.6,5.5,8.0,6.6,8.6,6.9,7.0,8.9,8.6,5.6,5.3,7.1,8.3,8.0,7.8,8.6,7.3,6.2,3.9,5.7,8.6,8.1,7.9,8.3,7.9,6.4,6.4,6.7,8.7,M,,2,6.75,6.5,4.25,D1,7.5375,7.7625,7.6625,K,K,K,3.015,3.105,3.0650000000000004,1
13,7.3,6.3,8.7,7.7,6.6,8.5,6.9,8.5,5.8,5.7,6.3,7.3,7.3,7.1,7.9,7.7,8.5,7.1,7.8,6.5,7.1,8.4,8.5,9.1,7.6,6.7,6.7,7.8,7.5,7.1,7.8,8.9,9.3,7.2,8.6,7.1,7.5,6.9,7.5,9.0,8.3,7.0,7.1,7.2,7.9,6.8,5.6,8.5,F,,1,2.0,4.5,5.0,D1,7.562499999999999,6.8875,7.875,K,K,K,3.0249999999999995,2.755,3.15,1
14,4.9,5.4,5.0,5.0,5.8,7.0,4.2,5.8,4.5,4.5,4.6,5.6,5.9,7.1,6.0,6.5,4.5,6.1,4.2,6.0,6.7,5.9,7.0,5.3,4.6,5.4,4.3,7.3,7.8,5.9,7.5,6.2,6.5,5.8,6.1,6.4,6.9,6.8,6.2,5.8,6.9,5.9,5.7,5.8,6.4,7.3,5.6,5.7,F,,1,2.5,2.75,5.5,D1,5.3875,5.5875,5.7125,TB,TB,TB,2.155,2.2350000000000003,2.285,1
15,7.1,8.0,9.1,7.5,6.1,7.7,7.9,7.6,8.3,7.3,8.1,7.7,6.8,8.4,7.4,6.6,8.6,7.9,8.5,7.0,5.2,8.6,8.0,7.3,8.3,7.8,8.2,8.0,6.6,8.9,8.6,7.6,8.6,6.8,8.4,7.8,6.9,8.1,7.3,7.8,8.5,8.2,8.6,9.3,6.9,8.0,7.6,7.0,F,,2NT,3.5,4.5,6.5,A,7.625,7.575,7.6375,K,K,K,3.05,3.03,3.055,1
16,2.5,5.3,4.9,8.2,6.9,6.0,6.7,5.0,6.2,3.8,4.7,8.6,7.5,6.3,8.0,5.6,6.5,5.9,5.7,6.4,7.2,6.1,7.6,4.8,7.3,5.5,5.4,5.2,7.0,7.7,8.1,6.9,3.4,5.3,4.6,5.0,7.4,5.6,6.8,5.0,5.3,6.0,6.0,6.2,7.2,7.1,6.8,5.0,M,,1,3.75,3.0,6.5,D1,5.6875,6.3375,6.275,TB,TB,TB,2.275,2.535,2.51,0
17,8.8,7.0,7.7,7.1,6.1,5.4,8.3,5.3,7.3,7.4,7.4,5.9,6.1,7.9,7.5,6.0,7.5,7.0,8.6,6.7,6.0,6.9,7.5,6.2,7.7,7.3,8.6,5.8,6.4,6.1,7.6,5.5,7.4,5.4,7.6,5.2,6.7,7.4,8.4,5.6,7.5,6.7,6.0,6.7,7.1,5.3,7.8,5.6,F,,1,3.5,4.0,3.5,A,6.9625,6.9375,7.05,K,K,K,2.785,2.775,2.82,1
18,5.4,6.0,4.9,5.5,4.2,7.3,5.3,4.9,4.8,6.4,6.3,6.9,5.3,9.2,7.3,5.3,5.5,7.1,7.5,7.8,4.7,9.4,8.6,6.3,5.5,6.0,7.2,7.9,5.0,9.1,8.8,6.5,7.5,6.2,7.8,7.2,5.0,7.9,6.4,5.3,7.3,7.3,7.1,6.4,5.9,9.4,6.4,5.5,M,,1,4.25,4.5,5.0,A,5.437499999999999,6.437499999999999,7.1125,TB,TB,K,2.175,2.575,2.845,1
19,5.6,4.8,7.3,3.9,5.5,6.0,6.1,4.8,5.5,4.9,5.0,6.3,5.8,6.1,6.8,4.8,4.8,8.8,5.4,7.0,6.7,5.8,7.7,4.9,6.1,7.4,6.5,7.2,7.7,5.0,7.6,6.0,6.6,6.8,6.6,6.7,6.1,5.6,6.3,5.0,8.5,7.7,6.7,6.6,5.7,6.4,6.3,5.8,M,,1,3.25,4.75,3.5,A,5.499999999999999,5.65,6.3875,TB,TB,TB,2.2,2.26,2.555,1
20,8.2,7.3,7.8,7.6,5.6,7.2,6.0,6.5,6.4,7.3,5.7,5.7,5.3,7.3,6.1,6.7,6.1,7.8,9.2,6.1,4.7,6.6,7.1,5.8,5.8,6.5,7.3,5.5,5.2,3.4,6.4,6.1,7.1,6.3,7.5,7.1,4.9,4.3,7.8,5.0,8.9,8.2,6.5,5.3,5.8,5.7,6.6,5.5,F,,2,3.5,4.0,4.0,A,7.025,6.3125,6.675,K,TB,K,2.81,2.525,2.67,1
21,3.9,3.9,6.0,6.7,6.1,4.8,6.3,5.2,5.6,5.1,6.2,7.0,6.2,6.3,6.6,4.5,6.3,5.2,6.6,6.6,6.0,7.3,6.4,6.8,6.9,6.7,7.0,8.0,6.8,6.4,6.9,5.2,9.3,6.6,7.5,5.6,6.3,6.0,7.1,5.5,8.4,7.8,6.6,7.7,6.2,6.4,6.1,6.7,M,,1,2.75,5.0,4.25,A,5.362500000000001,5.9375,6.4,TB,TB,TB,2.1450000000000005,2.375,2.56,0
22,5.0,5.1,6.3,4.5,6.8,5.8,5.1,4.1,5.8,4.5,5.3,5.3,5.7,4.2,5.6,4.2,6.0,5.2,4.5,6.7,6.9,7.4,5.3,4.9,6.6,4.4,5.9,4.9,6.5,7.5,7.3,5.2,6.8,6.5,6.4,5.6,7.1,6.6,4.8,5.5,5.5,5.7,6.8,6.1,7.8,5.2,6.8,6.1,F,,1,3.5,3.0,4.5,D1,5.3375,5.075,5.862499999999999,TB,TB,TB,2.135,2.03,2.345,1
23,5.0,4.5,5.3,6.8,4.8,5.5,5.5,5.5,5.5,5.5,5.7,8.0,5.4,6.3,6.3,4.7,2.3,7.2,4.5,5.3,6.9,8.0,5.8,6.1,4.1,7.3,4.9,8.5,7.0,8.3,7.6,5.3,3.4,6.2,5.7,7.3,6.0,4.4,6.1,6.7,4.1,7.0,5.8,7.2,6.2,5.3,6.4,6.1,F,,2,5.0,3.5,6.0,C,5.362500000000001,5.925,5.7625,TB,TB,TB,2.1450000000000005,2.37,2.305,0
24,5.3,6.3,5.7,6.9,5.9,7.5,6.6,5.1,6.4,6.9,4.7,7.4,6.1,8.4,6.4,4.4,6.1,5.8,5.1,7.4,6.7,7.1,6.7,4.3,5.0,3.5,4.5,7.3,6.1,8.8,7.9,3.9,5.3,5.5,6.3,6.7,6.7,7.5,6.7,4.5,6.1,6.8,6.4,6.4,7.6,8.8,6.1,5.2,M,,2NT,6.75,5.25,5.0,C,6.1625000000000005,6.3375,6.15,TB,TB,TB,2.4650000000000003,2.535,2.46,1
25,2.4,4.1,3.6,5.5,5.9,5.6,4.9,4.2,3.3,5.7,4.9,5.3,5.7,4.5,5.6,4.8,3.9,4.6,4.6,6.9,5.7,8.0,5.1,4.7,3.3,5.3,5.6,6.9,7.2,7.3,6.1,3.6,4.4,5.0,4.4,5.6,6.8,4.0,5.0,5.2,3.8,6.3,4.5,6.6,7.1,4.1,5.7,5.1,F,,1,7.0,2.25,5.25,C,4.525,4.975,5.437500000000001,Y,Y,TB,1.81,1.99,2.1750000000000003,0
26,3.6,5.8,6.9,6.1,5.5,7.2,5.5,4.3,4.2,5.4,6.5,5.5,5.8,5.0,5.3,4.3,4.2,4.5,5.3,5.0,5.6,6.4,5.3,4.1,4.8,4.8,4.7,4.6,5.4,4.1,6.3,5.6,5.8,4.9,4.8,6.3,4.8,2.7,4.4,5.0,3.7,4.5,5.7,5.5,5.6,5.9,6.3,4.4,F,,1,4.75,2.0,5.5,C,5.6125,5.25,5.05,TB,TB,TB,2.245,2.1,2.02,1
27,4.9,4.8,5.0,5.4,5.2,5.3,6.5,4.4,5.9,5.4,5.2,5.5,5.9,4.9,6.4,3.7,4.9,4.5,5.5,6.8,6.2,7.4,7.5,4.2,6.0,5.8,5.1,9.0,7.2,5.1,5.3,5.7,6.1,7.7,8.0,6.4,6.7,5.4,8.3,4.8,6.8,7.5,8.1,7.0,8.1,7.6,6.8,5.5,F,,1,5.25,4.5,4.75,C,5.1875,5.3625,5.875,TB,TB,TB,2.075,2.145,2.35,0
28,8.1,5.5,5.1,5.6,6.2,6.2,6.6,4.8,4.4,4.7,5.2,6.6,6.5,5.8,6.1,4.8,5.0,6.2,4.4,6.3,4.4,5.2,6.6,5.7,2.9,5.2,4.2,5.9,5.0,5.8,7.4,5.3,5.8,5.2,6.0,6.2,6.2,6.8,5.9,5.0,5.6,6.2,6.4,6.4,7.3,6.4,6.3,5.1,F,,2NT,5.25,5.0,3.5,C,6.012499999999999,5.512499999999999,5.475,TB,TB,TB,2.405,2.205,2.19,1
29,6.3,6.4,6.6,6.7,6.6,8.1,7.8,4.5,8.1,4.9,5.7,4.9,4.5,8.0,6.9,4.7,5.7,5.9,4.3,6.4,5.5,7.2,6.6,4.6,7.3,4.3,4.0,7.1,5.4,8.7,6.5,4.7,8.3,6.7,5.3,6.5,5.5,7.6,6.4,4.8,8.4,6.6,6.1,7.2,5.9,8.2,6.8,5.4,M,,2NT,3.25,5.25,3.75,A,6.624999999999999,5.9625,5.775000000000001,K,TB,TB,2.6499999999999995,2.385,2.3100000000000005,1
30,4.5,3.8,4.8,5.9,4.3,6.2,5.2,6.1,5.5,5.8,5.1,6.7,4.7,6.1,5.8,5.3,6.8,6.5,5.4,5.4,5.0,6.0,6.1,7.0,5.6,7.1,5.7,6.3,5.6,5.1,6.4,7.0,5.3,4.8,4.5,4.0,3.9,3.3,4.4,5.4,6.1,5.2,5.0,5.3,5.0,6.2,5.5,6.1,M,,1,2.75,3.75,5.0,D1,5.1000000000000005,5.624999999999999,6.025,TB,TB,TB,2.04,2.25,2.41,0
31,7.6,7.2,5.4,5.6,5.6,6.7,6.7,4.0,7.7,6.6,5.8,6.9,6.4,7.1,5.4,5.7,7.5,5.7,4.4,7.7,5.8,8.0,8.4,5.4,5.5,5.5,5.5,5.6,6.5,7.0,6.9,5.7,6.5,5.4,5.4,5.8,7.5,7.1,7.5,5.7,6.5,7.5,6.8,6.7,6.4,7.8,8.4,6.2,F,,1,5.0,3.5,5.5,D1,6.100000000000001,6.45,6.6125,TB,TB,K,2.4400000000000004,2.58,2.645,1
32,2.6,4.6,4.6,3.6,4.2,5.4,5.2,4.5,3.8,6.1,6.3,8.1,4.5,7.2,5.6,4.5,5.9,6.4,6.4,7.7,4.9,7.1,7.8,5.3,6.8,7.7,7.2,6.4,6.3,8.1,8.0,6.7,6.3,6.1,7.6,4.1,5.5,6.2,6.3,5.1,8.0,7.3,7.3,7.4,5.8,9.0,6.7,6.7,M,,1,4.5,4.75,5.5,A,4.3375,5.7625,6.4375,Y,TB,TB,1.735,2.305,2.575,0
33,6.0,6.8,7.1,7.3,6.6,7.1,6.9,7.0,6.0,6.9,5.8,7.7,6.2,6.9,7.0,7.6,6.8,7.7,7.1,8.2,5.6,8.4,7.4,6.9,5.4,6.6,6.2,8.4,6.6,7.7,6.3,7.3,6.7,6.1,7.1,6.8,6.6,6.6,6.9,6.5,6.7,7.6,6.7,6.6,6.7,6.6,7.1,7.5,F,,2,4.5,4.5,4.75,D1,6.85,6.7625,7.262499999999999,K,K,K,2.74,2.705,2.905,1
34,6.4,4.6,6.4,5.9,5.7,7.2,6.9,2.9,4.5,4.4,6.2,5.3,5.1,6.4,4.6,4.0,8.0,7.7,7.3,6.3,5.3,5.9,5.7,5.8,8.5,6.6,5.9,4.6,4.4,6.6,5.1,5.5,7.7,5.4,6.2,6.4,4.5,5.3,5.9,3.1,6.0,6.8,7.0,5.0,4.9,4.9,6.4,4.4,M,,1,2.25,4.0,4.25,A,5.749999999999999,5.0625,6.5,TB,TB,K,2.3,2.025,2.6,1
35,4.7,7.2,7.4,7.6,6.3,7.7,4.9,4.7,6.2,5.4,7.0,6.6,5.5,6.5,8.1,4.9,4.3,5.3,5.2,7.3,6.2,5.6,7.2,6.4,5.3,5.1,8.4,7.2,6.5,7.1,8.4,6.3,6.4,5.6,6.7,6.1,7.0,5.3,5.6,4.7,7.0,5.5,7.0,7.0,7.6,5.3,6.8,4.3,M,,2NT,2.5,4.5,4.5,A,6.3125,6.275,5.9375,TB,TB,TB,2.525,2.51,2.375,1
36,6.5,4.4,6.5,5.7,6.4,6.9,4.0,4.6,5.3,5.1,5.1,5.9,6.3,6.5,4.7,5.3,6.1,4.7,4.7,7.0,6.0,5.9,7.3,5.7,5.7,4.3,4.1,6.7,5.9,5.4,6.7,5.8,7.1,5.9,6.7,5.2,5.9,5.5,4.7,5.6,6.9,5.7,7.0,6.6,6.4,5.8,6.0,5.5,M,,2,2.5,5.0,5.0,A,5.625,5.525,5.925,TB,TB,TB,2.25,2.21,2.37,1
37,7.3,4.8,4.9,4.6,4.0,5.1,5.8,3.4,7.5,5.8,3.1,8.8,4.9,8.5,7.1,3.8,8.0,6.3,4.8,6.8,4.7,6.8,7.6,3.3,7.7,5.4,6.2,7.5,5.3,7.9,7.8,5.7,7.8,4.6,5.0,6.0,4.3,4.6,6.6,4.8,8.1,6.0,7.1,7.1,4.7,8.3,6.9,5.0,M,,1,4.25,3.5,2.75,A,4.9875,6.1875,6.0375,Y,TB,TB,1.995,2.475,2.415,1
38,3.4,4.2,3.7,4.4,6.1,4.6,4.7,4.4,4.4,5.9,4.8,5.4,5.0,6.7,5.7,5.3,5.8,4.8,4.4,5.6,5.2,5.8,5.1,5.7,3.0,3.8,3.9,5.9,5.1,5.3,5.8,6.5,3.2,6.1,6.6,5.1,5.7,4.4,5.3,6.3,3.7,6.7,6.8,6.6,5.8,5.9,4.7,5.8,M,,2,2.25,5.25,4.5,A,4.4375,5.4,5.300000000000001,Y,TB,TB,1.775,2.16,2.12,0
39,4.4,5.6,5.2,6.4,5.9,6.7,7.2,4.3,4.4,2.4,7.5,7.1,5.7,5.1,5.6,4.9,5.1,5.0,6.8,4.9,3.8,6.4,5.6,4.5,5.6,5.5,7.2,5.5,4.5,6.0,6.2,3.8,5.8,3.5,5.5,5.8,4.7,6.6,6.8,3.9,5.8,4.0,7.0,5.5,5.2,6.5,6.6,4.2,M,,1,2.0,3.0,5.25,A,5.7125,5.3375,5.2625,TB,TB,TB,2.285,2.135,2.105,0
40,4.3,5.0,4.8,1.9,3.1,6.1,7.5,3.8,5.3,6.6,6.8,5.8,4.0,7.4,6.2,4.3,7.3,6.4,6.3,7.3,4.5,6.4,6.3,5.2,7.7,5.5,6.3,6.1,4.3,6.4,6.6,5.3,7.4,5.1,6.8,7.6,5.6,6.6,6.6,5.5,7.1,6.2,7.3,7.0,6.9,7.6,6.2,5.0,M,,1,2.75,4.0,4.0,A1,4.5625,5.8,6.2125,Y,TB,TB,1.825,2.32,2.4850000000000003,0
41,5.3,6.3,8.4,7.3,5.8,8.5,7.6,7.8,7.5,7.8,7.5,8.3,5.3,8.0,8.0,8.0,7.8,7.8,7.3,7.4,6.0,7.9,7.6,6.7,8.5,6.7,6.8,8.1,6.1,8.2,8.3,6.5,6.8,7.5,6.9,6.4,6.1,4.7,7.3,6.6,7.5,8.6,7.9,7.1,6.3,5.3,8.5,6.6,F,,2,5.0,3.75,5.75,D1,7.125,7.55,7.3125,K,K,K,2.85,3.02,2.925,1
42,8.3,8.0,9.0,8.3,7.9,8.3,8.1,6.7,8.2,8.4,8.3,8.6,8.0,8.7,8.7,7.7,7.8,7.6,8.1,8.5,7.0,9.7,8.8,8.3,7.7,7.9,8.9,8.8,7.9,8.4,8.6,7.4,8.8,8.3,8.8,8.4,7.5,6.6,8.0,7.1,8.5,8.6,8.5,9.1,7.8,8.1,7.9,7.4,F,,2,4.0,4.5,5.75,A,8.075,8.325000000000001,8.225,G,G,G,3.2299999999999995,3.3300000000000005,3.29,1
43,7.0,7.4,7.5,8.3,8.7,8.0,8.8,7.0,7.2,6.7,7.6,9.3,8.6,8.0,9.4,6.9,7.0,6.0,5.3,7.4,8.0,9.0,8.3,7.0,6.5,5.3,6.3,8.4,7.5,8.1,7.6,6.3,4.0,7.3,7.2,7.2,6.9,5.9,8.0,7.1,5.5,6.9,7.5,8.3,8.0,8.7,7.2,6.6,F,,1,5.75,3.5,4.25,D1,7.8375,7.962499999999999,7.25,K,K,K,3.135,3.185,2.9,1
44,6.6,7.2,5.9,6.9,7.6,8.1,7.3,6.7,6.3,6.9,6.0,6.4,7.0,7.1,6.9,6.2,6.7,7.1,5.4,6.8,6.8,5.9,6.6,6.8,6.0,7.6,6.5,7.6,6.7,7.1,7.9,5.6,5.8,5.9,5.8,4.6,6.6,4.0,6.0,6.2,6.0,7.6,6.5,7.6,6.7,7.1,7.9,5.6,F,1.0,2,1.25,3.5,5.0,D1,7.0375000000000005,6.6000000000000005,6.5125,K,K,K,2.8150000000000004,2.64,2.605,1
45,6.1,6.9,5.9,6.6,6.0,7.0,6.8,6.7,8.8,7.1,6.4,6.7,6.8,7.1,7.1,7.1,8.4,7.3,5.6,7.5,5.8,6.8,6.3,7.3,6.6,7.1,6.3,6.8,6.6,6.9,6.7,6.9,7.8,7.3,6.8,7.8,6.8,6.1,4.3,5.8,7.8,6.8,8.0,7.4,7.1,6.6,6.8,7.3,F,,2NT,3.75,4.0,4.0,A,6.5,7.1375,6.874999999999998,K,K,K,2.6,2.855,2.749999999999999,1
46,6.9,5.3,7.1,5.7,7.0,8.4,6.2,6.4,5.4,4.8,6.6,6.4,7.3,7.4,6.6,5.7,5.3,6.6,6.2,5.9,6.0,8.9,6.5,5.8,5.3,6.2,5.8,7.5,6.3,6.2,8.4,5.3,7.2,6.3,6.8,6.0,6.0,4.1,7.4,5.9,7.1,7.1,6.6,5.7,6.8,5.8,7.1,5.7,F,,2,2.0,4.5,5.0,A,6.625,6.275,6.4,K,TB,TB,2.65,2.51,2.56,1
47,6.7,6.8,6.4,5.9,5.6,6.4,8.0,6.8,6.6,6.9,7.1,4.6,6.0,6.7,7.8,6.8,7.6,7.0,6.7,7.0,5.9,6.2,8.1,7.5,7.4,6.5,6.6,6.1,6.0,5.4,6.8,6.8,6.1,5.5,6.3,6.5,5.8,5.2,7.9,5.3,6.5,6.9,5.9,7.0,6.0,5.1,6.6,5.1,F,,1,5.25,2.25,5.25,D1,6.574999999999999,6.5625,7.000000000000001,K,K,K,2.63,2.625,2.8000000000000003,1
48,7.9,7.6,8.4,8.6,6.2,7.5,8.7,7.7,7.3,7.5,8.0,7.7,5.9,8.5,8.8,8.0,7.8,7.6,8.2,7.6,5.4,6.5,8.2,8.1,9.4,7.6,9.1,8.8,6.2,6.6,8.4,8.4,8.6,8.1,9.0,7.8,5.1,5.2,8.0,7.7,8.1,9.0,9.2,7.5,4.6,5.1,7.0,7.9,M,,2,4.75,6.5,8.0,A,7.825000000000001,7.7125,7.425,K,K,K,3.1300000000000003,3.085,2.97,1
49,7.9,6.0,6.4,7.4,8.0,7.1,8.4,7.0,8.1,7.5,6.7,8.7,8.5,7.9,9.0,7.1,7.8,7.4,6.3,8.3,7.8,8.9,9.1,7.5,5.8,8.2,8.2,8.6,8.1,9.1,8.1,7.9,7.3,6.7,6.9,6.8,8.5,9.3,8.1,6.9,7.9,8.0,7.6,7.3,8.2,9.0,6.5,6.5,F,,2,5.0,4.0,6.75,D1,7.275,7.9375,7.8875,K,K,K,2.91,3.175,3.155,1
50,8.2,7.2,8.4,5.9,5.9,6.4,6.4,6.2,8.5,6.8,5.0,6.2,6.0,7.2,8.0,7.0,6.7,6.4,6.6,5.5,5.3,6.3,5.7,6.1,6.8,6.7,5.9,5.7,6.4,7.4,7.8,6.4,7.5,7.2,6.6,5.4,6.0,6.4,5.5,5.9,7.6,7.9,8.0,7.5,5.8,6.6,7.7,6.9,F,,2NT,3.25,4.5,4.0,A1,6.824999999999999,6.8375,6.075000000000001,K,K,TB,2.7299999999999995,2.7350000000000003,2.4300000000000006,1
51,5.5,7.1,6.1,5.8,6.2,6.9,7.3,6.1,6.2,6.7,5.7,6.7,6.3,6.6,7.1,5.7,7.3,7.0,6.0,7.7,7.4,7.7,8.7,5.9,7.9,6.8,7.7,9.4,7.8,7.6,8.1,7.1,7.1,6.3,7.4,6.2,6.6,5.3,5.6,5.3,7.7,7.0,6.8,6.3,7.4,8.4,6.8,6.3,F,,1,2.0,5.25,3.5,A,6.375,6.375000000000001,7.212499999999999,TB,TB,K,2.55,2.5500000000000003,2.885,1
52,6.0,5.3,8.5,6.6,7.6,7.5,7.6,4.0,7.3,6.3,8.9,7.8,8.2,8.4,8.8,6.1,7.4,7.1,8.5,8.3,8.1,9.0,7.3,5.0,8.1,6.0,8.8,9.0,7.9,7.8,8.6,5.8,7.7,6.9,7.2,5.8,7.5,8.9,7.5,6.1,6.5,7.3,7.0,6.8,7.5,9.0,7.8,5.9,F,,1,2.5,3.25,5.0,A,6.6375,7.725,7.587499999999999,K,K,K,2.655,3.0900000000000003,3.035,1
53,5.3,7.0,7.0,7.3,6.7,8.4,6.6,7.8,8.0,7.2,6.5,7.0,6.9,8.0,7.9,7.1,6.8,7.9,6.9,7.7,5.8,8.6,6.8,7.2,6.6,7.0,7.3,7.4,6.3,7.8,6.7,6.9,7.4,6.7,6.5,5.9,7.0,6.5,6.9,7.2,5.9,6.9,5.7,5.5,6.9,5.3,7.0,5.9,F,,2NT,3.75,3.5,4.5,D1,7.0125,7.325,7.2125,K,K,K,2.805,2.93,2.885,1
54,4.9,5.9,6.2,5.6,5.9,5.0,7.0,5.6,6.1,7.1,6.4,6.0,6.3,5.5,6.2,6.6,2.5,4.8,5.0,5.0,4.5,2.4,5.8,3.7,6.2,4.1,4.4,5.2,4.1,6.3,4.9,4.6,4.9,5.2,4.9,5.5,5.5,4.6,5.5,5.4,6.5,7.5,6.1,5.6,5.2,5.7,5.6,6.3,M,,1,1.0,5.5,4.25,A,5.7625,6.275000000000001,4.2125,TB,TB,Y,2.305,2.5100000000000007,1.685,1
